Id,FirstName,LastName,Role
1,Kentarou,Miura,StoryAndArt
2,,Studio Gaga,Art
3,Eiichiro,Oda,StoryAndArt
4,Hirohiko,Araki,StoryAndArt
5,Inio,Asano,StoryAndArt
6,Hiromu,Arakawa,StoryAndArt
7,Takehiko,Inoue,StoryAndArt
8,Eiji,Yoshikawa,Story
9,Makoto,Yukimura,StoryAndArt
10,Aka,Akasaka,StoryAndArt
11,Tatsuki,Fujimoto,StoryAndArt
12,Naoki,Urasawa,StoryAndArt
13,Yoshitoki,Ooima,StoryAndArt
14,Yusuke,Murata,Art
15,,ONE,Story
16,Takeshi,Obata,Art
17,Tsugumi,Ohba,Story
18,Haruichi,Furudate,StoryAndArt
19,Yoshihiro,Togashi,StoryAndArt
20,Kenji,Inoue,Story
21,Kimitake,Yoshioka,Art
22,Shouichi,Taguchi,Art
23,Sugaru,Miaki,Story
24,Tooru,Fujisawa,StoryAndArt
25,Yasuhisa,Hara,StoryAndArt
26,Hajime,Isayama,StoryAndArt
27,Tatsuya,Endou,StoryAndArt
28,Sui,Ishida,StoryAndArt
29,Gege,Akutami,StoryAndArt
30,Aka,Akasaka,Story
31,Mengo,Yokoyari,Art
32,Mizuho,Kusanagi,StoryAndArt
33,Q,Hayashida,StoryAndArt
34,Haruko,Ichikawa,StoryAndArt
35,Ai,Yazawa,StoryAndArt
36,Muneyuki,Kaneshiro,Story
37,Yuusuke,Nomura,Art
38,Jun,Mochizuki,StoryAndArt
39,Natsuki,Takaya,StoryAndArt
40,Katsuhiro,Otomo,StoryAndArt
41,Daisuke,Hagiwara,Art
42,,HERO,Story
43,Yoshiyuki,Sadamoto,StoryAndArt
44,Osamu,Tezuka,Story
45,Sumomo,Yumeka,Art
46,Nobuhiro,Watsuki,StoryAndArt
47,George,Morikawa,StoryAndArt
48,Hideaki,Sorachi,StoryAndArt
49,Bisco,Hatori,StoryAndArt
50,Akira,Toriyama,StoryAndArt
51,Tsubasa,Yamaguchi,StoryAndArt
52,Yoshiki,Nakamura,StoryAndArt
